city_id,name,province_id,area(km²),population
293,Princeville,11,195.26,6001
294,Québec[QC 4],11,453.38,531902
295,Repentigny,11,61.23,84285
296,Richelieu,11,30.98,5236
297,Richmond,11,6.92,3232
298,Rigaud,11,99.23,7777
299,Rimouski,11,339.64,48664
300,Rivière-du-Loup,11,84.11,19507
301,Rivière-Rouge,11,455.65,4322
302,Roberval,11,151.85,10046
303,Rosemère,11,10.84,13958
304,Rouyn-Noranda,11,6009.89,42334
305,Saguenay,11,1128.56,145949
306,Saint-Augustin-de-Desmaures,11,85.87,18820
307,Saint-Basile,11,98.84,2631
308,Saint-Basile-le-Grand,11,35.89,17059
309,Saint-Bruno-de-Montarville,11,43.14,26394
310,Saint-Césaire,11,83.20,5877
311,Saint-Charles-Borromée,11,18.52,13791
312,Saint-Colomban,11,93.87,16019
313,Saint-Constant,11,57.13,27359
314,Sainte-Adèle,11,120.95,12919
315,Sainte-Agathe-des-Monts,11,130.09,10223
316,Sainte-Anne-de-Beaupré,11,62.35,2880
317,Sainte-Anne-de-Bellevue,11,10.48,4958
318,Sainte-Anne-des-Monts,11,264.09,6437
319,Sainte-Anne-des-Plaines,11,93.59,14421
320,Sainte-Catherine,11,9.42,17047
321,Sainte-Catherine-de-la-Jacques-Cartier,11,121.06,7706
322,Sainte-Julie,11,48.53,29881
323,Sainte-Marguerite-du-Lac-Masson,11,91.96,2763
324,Sainte-Marie,11,107.57,13565
325,Sainte-Marthe-sur-le-Lac,11,8.75,18074
326,Sainte-Thérèse,11,9.48,25989
327,Saint-Eustache,11,70.51,44008
328,Saint-Félicien,11,363.19,10238
329,Saint-Gabriel,11,2.83,2640
330,Saint-Georges,11,199.27,32513
331,Saint-Hyacinthe,11,188.97,55648
332,Saint-Jean-sur-Richelieu,11,226.63,95114
333,Saint-Jérôme,11,90.44,74346
334,Saint-Joseph-de-Beauce,11,114.87,4858
335,Saint-Joseph-de-Sorel,11,1.38,1642
336,Saint-Lambert,11,7.59,21861
337,Saint-Lazare,11,66.80,19889
338,Saint-Lin–Laurentides,11,118.36,20786
339,Saint-Marc-des-Carrières,11,17.27,2911
340,Saint-Ours,11,59.31,1669
341,Saint-Pamphile,11,137.77,2400
342,Saint-Pascal,11,59.69,3468
343,Saint-Pie,11,107.49,5607
344,Saint-Raymond,11,670.33,10221
345,Saint-Rémi,11,78.35,8061
346,Saint-Sauveur,11,47.91,10231
347,Saint-Tite,11,91.33,3673
348,Salaberry-de-Valleyfield,11,107.13,40745
349,Schefferville,11,27.33,155
350,Scotstown,11,11.46,472
351,Senneterre,11,14889.93,2868
352,Sept-Îles,11,1762.92,25400
353,Shawinigan,11,734.84,49349
354,Sherbrooke,11,353.76,161323
355,Sorel-Tracy,11,57.46,34755
356,Stanstead,11,22.00,2788
357,Sutton,11,245.95,4012
358,Témiscaming,11,718.49,2431
359,Témiscouata-sur-le-Lac,11,218.80,4910
360,Terrebonne,11,154.12,111575
361,Thetford Mines,11,226.32,25403
362,Thurso,11,6.28,2818
363,Trois-Pistoles,11,7.64,3246
364,Trois-Rivières,11,289.32,134413
365,Valcourt,11,5.42,2165
366,Val-d'Or,11,3550.70,32491
367,Val-des-Sources,11,30.41,6786
368,Varennes,11,94.41,21257
369,Vaudreuil-Dorion,11,72.73,38117
370,Victoriaville,11,84.23,46130
371,Ville-Marie,11,5.84,2584
372,Warwick,11,109.84,4635
373,Waterloo,11,12.24,4410
374,Waterville,11,44.10,2121
375,Westmount,11,4.04,20312
376,Windsor,11,14.56,5419
377,Estevan,12,18.85,11483
378,Flin Flon [SK 1],12,2.37[SK 3],203
379,Humboldt,12,13.46,5869
380,Lloydminster [SK 4],12,17.34[SK 6],11765
381,Martensville[SK 7],12,6.23,9645
382,Meadow Lake,12,7.95,5344
383,Melfort,12,14.78,5992
384,Melville[SK 8],12,14.82,4562
385,Moose Jaw,12,50.68,33890
386,North Battleford,12,33.55,14315
387,Prince Albert,12,65.74,35926
388,Regina[SK 9],12,145.45,215106
389,Saskatoon[SK 10],12,209.56,246376
390,Swift Current,12,24.04,16604
391,Warman,12,8.54,11020
392,Weyburn,12,18.49,10870
393,Yorkton,12,25.77,16343
394,Whitehorse,13,416.54,25085
